0,666,411831.2921,3950094.668
1,661,416153.9343,3954177.219
2,1003,438384.5835,3961549.474
3,1789,407615.5312,3952485.53
4,80409,401787.818,3945565.251
5,1787,419849.8669,3962425.114
6,658,406233.7904,3968019.475
7,6048,402999.3023,3950449.916
8,3202,409709.8105,3959831.53
9,4184,400839.8487,3913795.776
10,688,398642.2599,3978685.205
11,4185,423298.6819,3953961.319
12,6039,403536.7898,3965860.17
13,608,480964.4151,3951887.573
14,2449,396121.4375,3874436.481
15,678,412775.3421,3954117.341
16,80693,400973.1379,3947745.831
17,682,426094.9451,3954285.61
18,2432,411280.0876,3950015.161
19,692,437863.3026,3930848.719
20,696,395117.5999,3910268.508
21,695,469212.7424,3953489.047
22,676,442443.0772,3935192.261
23,693,418277.1829,3885474.936
24,80382,409025.2351,3923438.445
25,675,436845.984,3920502.549
26,8541,435949.2061,3959525.598
27,685,416009.7231,3943135.865
28,698,425467.0107,3935618.693
29,1790,412055.9571,3945997.516
30,6028,418067.0768,3944033.483
31,4120,413593.8258,3945776.869
32,80697,420136.0035,3946257.014
33,674,437688.0886,3948704.782
